camara,comision,nombre,bloque,cargo
senado,De Acuerdos,"PAGOTTO, Juan Carlos",LA LIBERTAD AVANZA,Presidente
senado,De Acuerdos,"ESPÍNOLA, Carlos Mauricio",PROVINCIAS UNIDAS,Vocal
senado,De Acuerdos,"LOSADA, Carolina",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Acuerdos,"GOERLING LARA, Enrique Martín",FRENTE PRO,Secretario/a
senado,De Acuerdos,"BULLRICH, Patricia",LA LIBERTAD AVANZA,Vocal
senado,De Acuerdos,"GODOY, Juan Cruz",LA LIBERTAD AVANZA,Vocal
senado,De Acuerdos,"MENDOZA, Sandra Mariela",CONVICCIÓN FEDERAL,Vocal
senado,De Acuerdos,"COTO, Agustín Pedro",LA LIBERTAD AVANZA,Vocal
senado,De Acuerdos,"ROYÓN, Flavia Gabriela",PRIMERO LOS SALTEÑOS,Vocal
senado,De Acuerdos,"ABAD, Maximiliano",UCR - UNIÓN CÍVICA RADICAL,Vicepresidente
senado,De Acuerdos,"JURI, Mariana",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Acuerdos,"ÁVILA, Beatriz Luisa",INDEPENDENCIA,Vocal
senado,De Acuerdos,"MÁRQUEZ, Nadia Judith",LA LIBERTAD AVANZA,Vocal
senado,De Acuerdos,"ARCE, Carlos Omar",FRENTE RENOVADOR DE LA CONCORDIA SOCIAL,Vocal
senado,"De Agricultura, Ganadería y Pesca","BENEGAS LYNCH, Joaquín Alberto",LA LIBERTAD AVANZA,Presidente
senado,"De Agricultura, Ganadería y Pesca","CERVI, Mario Pablo",LA LIBERTAD AVANZA,Vocal
senado,"De Agricultura, Ganadería y Pesca","FULLONE, Enzo Paolo",LA LIBERTAD AVANZA,Vocal
senado,"De Agricultura, Ganadería y Pesca","PAOLTRONI, Francisco Manuel",LA LIBERTAD AVANZA,Vocal
senado,"De Agricultura, Ganadería y Pesca","ALVAREZ RIVERO, Carmen",LA LIBERTAD AVANZA,Vocal
senado,"De Agricultura, Ganadería y Pesca","GALARETTO, Eduardo Horacio",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,"De Agricultura, Ganadería y Pesca","KRONEBERGER, Daniel Ricardo",UCR - UNIÓN CÍVICA RADICAL,Vicepresidente
senado,"De Agricultura, Ganadería y Pesca","VALENZUELA, Mercedes Gabriela",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,"De Agricultura, Ganadería y Pesca","GADANO, Natalia Elena",MOVERE POR SANTA CRUZ,Vocal
senado,"De Agricultura, Ganadería y Pesca","TERENZI, Edith Elizabeth",DESPIERTA CHUBUT,Vocal
senado,"De Agricultura, Ganadería y Pesca","ESPÍNOLA, Carlos Mauricio",PROVINCIAS UNIDAS,Vocal
senado,"De Agricultura, Ganadería y Pesca","GOERLING LARA, Enrique Martín",FRENTE PRO,Vocal
senado,"De Agricultura, Ganadería y Pesca","OROZCO, María Emilia",LA LIBERTAD AVANZA,Vocal
senado,"De Agricultura, Ganadería y Pesca","LEWANDOWSKI, Marcelo Néstor",JUSTICIALISTA,Vocal
senado,"De Agricultura, Ganadería y Pesca","MAYANS, José Miguel Ángel",JUSTICIALISTA,Vocal
senado,"De Agricultura, Ganadería y Pesca","BAHL, Adán Humberto",JUSTICIALISTA,Vocal
senado,"De Agricultura, Ganadería y Pesca","LINARES, Carlos Alberto",JUSTICIALISTA,Vocal
senado,"De Agricultura, Ganadería y Pesca","DE PEDRO, Eduardo Enrique",JUSTICIALISTA,Vocal
senado,"De Agricultura, Ganadería y Pesca","MANZUR, Juan Luis",JUSTICIALISTA,Vocal
senado,De Ambiente y Desarrollo Sustentable,"TERENZI, Edith Elizabeth",DESPIERTA CHUBUT,Presidente
senado,De Ambiente y Desarrollo Sustentable,"GADANO, Natalia Elena",MOVERE POR SANTA CRUZ,Vocal
senado,De Ambiente y Desarrollo Sustentable,"ROJAS DECUT, Sonia Elizabeth",FRENTE RENOVADOR DE LA CONCORDIA SOCIAL,Vocal
senado,De Ambiente y Desarrollo Sustentable,"ROYÓN, Flavia Gabriela",PRIMERO LOS SALTEÑOS,Vocal
